threshold,cost_per_10k
0.634,4131265.0953780017
0.635,4131265.0953780017
0.636,4131265.0953780017
0.637,4131265.0953780017
0.638,4131265.0953780017
0.639,4131265.0953780017
0.64,4131265.0953780017
0.641,4131265.0953780017
0.642,4131265.0953780017
0.643,4131265.0953780017
0.644,4131265.0953780017
0.645,4131265.0953780017
0.646,4131771.179291868
0.647,4131771.179291868
0.648,4131771.179291868
0.649,4131771.179291868
0.65,4131771.179291868
0.651,4131771.179291868
0.652,4131771.179291868
0.653,4131771.179291868
0.654,4131771.179291868
0.655,4131771.179291868
0.656,4131771.179291868
0.657,4131771.179291868
0.658,4131771.179291868
0.659,4131771.179291868
0.66,4131771.179291868
0.661,4131771.179291868
0.662,4131771.179291868
0.663,4131771.179291868
0.664,4131771.179291868
0.665,4131771.179291868
0.666,4131771.179291868
0.667,4131771.179291868
0.668,4131771.179291868
0.669,4131771.179291868
0.67,4131771.179291868
0.671,4131771.179291868
0.672,4131771.179291868
0.673,4131771.179291868
0.674,4131771.179291868
0.675,4131771.179291868
0.676,4131771.179291868
0.677,4131771.179291868
0.678,4131771.179291868
0.679,4131771.179291868
0.68,4131771.179291868
0.681,4131771.179291868
0.682,4131771.179291868
0.683,4131771.179291868
0.684,4131771.179291868
0.685,4131771.179291868
0.686,4131771.179291868
0.687,4131771.179291868
0.6880000000000001,4140974.4955235533
0.6890000000000001,4140974.4955235533
0.6900000000000001,4140974.4955235533
0.6910000000000001,4140974.4955235533
0.6920000000000001,4140974.4955235533
0.6930000000000001,4140974.4955235533
0.6940000000000001,4140974.4955235533
0.6950000000000001,4140974.4955235533
0.6960000000000001,4140974.4955235533
0.6970000000000001,4140974.4955235533
0.6980000000000001,4140974.4955235533
0.6990000000000001,4140974.4955235533
0.7000000000000001,4140974.4955235533
0.7010000000000001,4140974.4955235533
0.7020000000000001,4140974.4955235533
0.7030000000000001,4140974.4955235533
0.704,4140974.4955235533
0.705,4140974.4955235533
0.706,4140974.4955235533
0.707,4140974.4955235533
0.708,4140974.4955235533
0.709,4140974.4955235533
0.71,4140974.4955235533
0.711,4140974.4955235533
0.712,4140974.4955235533
0.713,4140974.4955235533
0.714,4140974.4955235533
0.715,4140974.4955235533
0.716,4140974.4955235533
0.717,4140974.4955235533
0.718,4140974.4955235533
0.719,4140974.4955235533
0.72,4140974.4955235533
